Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons


BST Search
Item, Running Time, Numer of comparisons
20520, 1397, 1
19877, 1397, 5
4828, 1467, 9
20088, 1396, 8
4615, 1467, 9
11242, 1467, 13
9660, 1047, 11
18492, 1467, 8
21596, 1397, 5
17015, 1397, 7
11625, 1467, 13
8610, 1537, 15
12271, 1467, 12
11425, 1467, 14
8390, 1117, 14
21946, 1396, 6
7963, 1537, 15
13869, 1537, 14
21864, 1047, 8
3270, 1537, 16
16240, 1467, 8
9193, 1537, 16
21502, 1397, 6
20824, 1467, 9
18539, 1396, 9
17590, 1467, 12
20533, 1397, 5
15075, 1537, 10
21022, 1396, 6
19288, 1467, 12
20382, 1536, 10
4916, 1467, 13
21201, 1397, 6
17479, 1467, 10
4033, 1536, 13
16069, 1466, 8
484, 1537, 11
2618, 1607, 17
18132, 1467, 12
1319, 1606, 16
19048, 1466, 14
12509, 1607, 17
8440, 1606, 18
11372, 1536, 13
6013, 1466, 13
3433, 1537, 18
10181, 1536, 16
11257, 1536, 16
12190, 1607, 17
9475, 1536, 16
2867, 1536, 17
6450, 1536, 14
20822, 1467, 13
12972, 1467, 15
15212, 1467, 11
3562, 1537, 14
17377, 1466, 10
19098, 1606, 13
12957, 1537, 13
10952, 2654, 14
16658, 1606, 11
19818, 2026, 14
913, 1537, 12
9419, 1606, 19
17754, 1536, 14
21487, 1397, 7
6110, 1606, 15
14834, 1536, 13
13873, 1606, 19
11542, 1676, 19
15372, 1537, 13
29, 1397, 10
2327, 1677, 21
11418, 1467, 15
6123, 1536, 16
11856, 1536, 16
829, 1537, 14
3867, 1537, 18
17873, 1536, 11
15489, 1536, 14
17338, 1676, 10
15050, 1536, 12
14670, 1466, 10
17564, 1607, 15
16814, 1467, 11
11403, 1607, 16
16652, 1397, 12
17819, 1466, 13
13571, 1606, 18
5836, 1537, 16
6941, 1606, 17
6275, 1607, 16
16428, 1537, 10
2809, 1676, 19
6382, 1606, 17
11444, 1537, 16
20071, 1537, 14
8974, 1606, 18
11829, 1606, 20
7624, 1536, 20

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
21, 12, 2654,0, 1519


AVL Search
Item, Running Time, Numer of comparisons
20520, 1467, 5
19877, 1397, 3
4828, 1467, 7
20088, 1467, 6
4615, 1396, 5
11242, 1467, 9
9660, 1396, 6
18492, 1467, 7
21596, 1466, 9
17015, 1467, 11
11625, 1397, 5
8610, 1397, 7
12271, 1467, 9
11425, 1397, 7
8390, 1466, 6
21946, 1397, 7
7963, 1466, 8
13869, 1467, 9
21864, 1397, 8
3270, 1466, 8
16240, 1467, 10
9193, 1397, 6
21502, 1397, 10
20824, 1396, 8
18539, 1537, 10
17590, 1466, 10
20533, 1397, 8
15075, 1467, 9
21022, 1397, 7
19288, 1466, 11
20382, 1467, 10
4916, 1397, 6
21201, 1537, 10
17479, 1536, 11
4033, 1467, 8
16069, 1397, 9
484, 1467, 8
2618, 1466, 10
18132, 1467, 7
1319, 1466, 11
19048, 1467, 10
12509, 1397, 10
8440, 1537, 9
11372, 1396, 9
6013, 1467, 9
3433, 1466, 9
10181, 1467, 9
11257, 1536, 10
12190, 1467, 9
9475, 1396, 10
2867, 1467, 9
6450, 1537, 10
20822, 1466, 11
12972, 1467, 11
15212, 1606, 11
3562, 1466, 9
17377, 1607, 12
19098, 1537, 11
12957, 1396, 9
10952, 1537, 10
16658, 1397, 8
19818, 1466, 11
913, 1467, 10
9419, 1466, 8
17754, 1467, 11
21487, 1467, 9
6110, 1467, 9
14834, 1466, 10
13873, 1606, 12
11542, 1537, 11
15372, 1536, 12
29, 1467, 10
2327, 1537, 11
11418, 1397, 9
6123, 1537, 10
11856, 1536, 10
829, 1536, 12
3867, 1537, 12
17873, 1467, 11
15489, 1536, 12
17338, 1537, 12
15050, 1466, 12
14670, 1537, 11
17564, 1466, 11
16814, 1467, 11
11403, 1467, 10
16652, 1467, 10
17819, 1536, 12
13571, 1467, 10
5836, 1467, 10
6941, 1536, 12
6275, 1397, 10
16428, 1536, 11
2809, 1536, 11
6382, 1537, 11
11444, 1467, 9
20071, 1537, 11
8974, 1537, 10
11829, 1536, 11
7624, 2026, 12

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
12, 9, 2026,0, 1479
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
8, 1327, 1
170, 1467, 13
278, 1607, 25
402, 1746, 37
514, 1885, 49
639, 1956, 61
764, 2096, 73
892, 2166, 85
1011, 2515, 97
1110, 2445, 109
1264, 2584, 121
1361, 2654, 133
1471, 2864, 145
1591, 2933, 157
1740, 3143, 169
1869, 3212, 181
1987, 3003, 193
2126, 3492, 205
2277, 3562, 217
2431, 3632, 229
2588, 3842, 241
2716, 3981, 253
2811, 4191, 265
2932, 4191, 277
3053, 4400, 289
3170, 4470, 301
3261, 4610, 313
3401, 4819, 325
3533, 4958, 337
3696, 5029, 349
3845, 5168, 361
3964, 5238, 373
4091, 5447, 385
4220, 5448, 397
4361, 5657, 409
4494, 5727, 421
4600, 5866, 433
4739, 6006, 445
4904, 6076, 457
5042, 6356, 469
5189, 6425, 481
5326, 6635, 493
5434, 6705, 505
5594, 6775, 517
5697, 6914, 529
5834, 6984, 541
5963, 7193, 553
6108, 7194, 565
6221, 7543, 577
6339, 7683, 589
6451, 7612, 601
6576, 7962, 613
6709, 7962, 625
6831, 8171, 637
6944, 8102, 649
7103, 8451, 661
7224, 8451, 673
7323, 8660, 685
7415, 8660, 697
7578, 8870, 709
7698, 9009, 721
7827, 9219, 733
7972, 9359, 745
8105, 9359, 757
8215, 9149, 769
8355, 9708, 781
8469, 9777, 793
8646, 9848, 805
8780, 10127, 817
8899, 10127, 829
9025, 10267, 841
9159, 10267, 853
9293, 10616, 865
9447, 10686, 877
9556, 10826, 889
9678, 10966, 901
9816, 11035, 913
9940, 11175, 925
10086, 11384, 937
10239, 11454, 949
10416, 11594, 961
10558, 11663, 973
10709, 11873, 985
10797, 11594, 997
10873, 11943, 1009
11010, 12153, 1021
11141, 12153, 1033
11250, 12432, 1045
11373, 12502, 1057
11507, 12571, 1069
11613, 12781, 1081
11681, 12851, 1093
11837, 12991, 1105
11963, 14667, 1117
12077, 13340, 1129
12196, 13269, 1141
12295, 13549, 1153
12424, 13620, 1165
12524, 13899, 1177
12633, 13899, 1189

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
1189, 595, 14667,0, 7644


Binary Search
Item, Running Time, Numer of comparisons
8, 1606, 10
170, 1467, 8
278, 1466, 10
402, 1397, 5
514, 1466, 10
639, 1537, 10
764, 1467, 10
892, 1536, 10
1011, 1467, 8
1110, 1536, 9
1264, 1467, 7
1361, 1467, 9
1471, 1467, 8
1591, 1606, 10
1740, 1466, 10
1869, 1537, 11
1987, 1466, 9
2126, 1537, 11
2277, 1467, 9
2431, 1467, 8
2588, 1536, 10
2716, 1467, 10
2811, 1537, 10
2932, 1536, 10
3053, 1537, 11
3170, 1536, 10
3261, 1537, 8
3401, 1536, 10
3533, 1327, 5
3696, 1467, 10
3845, 1396, 10
3964, 1117, 10
4091, 1537, 10
4220, 1047, 8
4361, 1187, 9
4494, 1467, 7
4600, 1467, 9
4739, 1117, 8
4904, 1537, 10
5042, 1467, 10
5189, 1466, 11
5326, 1537, 9
5434, 1466, 11
5594, 1537, 9
5697, 1396, 8
5834, 1467, 10
5963, 1466, 10
6108, 1537, 10
6221, 1466, 10
6339, 1467, 11
6451, 1536, 10
6576, 1466, 8
6709, 1467, 10
6831, 1396, 5
6944, 1467, 10
7103, 1466, 10
7224, 1537, 10
7323, 1606, 10
7415, 1467, 8
7578, 1467, 9
7698, 1467, 7
7827, 1466, 9
7972, 1467, 8
8105, 1536, 10
8215, 1467, 10
8355, 1466, 11
8469, 1537, 9
8646, 1536, 11
8780, 1467, 9
8899, 1466, 8
9025, 1467, 10
9159, 1536, 10
9293, 1537, 10
9447, 1466, 10
9556, 1537, 11
9678, 1467, 10
9816, 1466, 8
9940, 1467, 10
10086, 1327, 5
10239, 1536, 10
10416, 1537, 10
10558, 1467, 10
10709, 1536, 10
10797, 1467, 8
10873, 1466, 9
11010, 1397, 7
11141, 1467, 9
11250, 1466, 8
11373, 1607, 10
11507, 1607, 10
11613, 1537, 11
11681, 1466, 9
11837, 1537, 11
11963, 1467, 9
12077, 1467, 8
12196, 1466, 9
12295, 1467, 7
12424, 1467, 9
12524, 1536, 8
12633, 1467, 10

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
11, 9, 1607,0, 1475


BST Search
Item, Running Time, Numer of comparisons
8, 2026, 1
170, 1466, 13
278, 1676, 25
402, 1747, 37
514, 1816, 49
639, 1956, 61
764, 2095, 73
892, 2165, 85
1011, 2235, 97
1110, 2375, 109
1264, 2445, 121
1361, 2654, 133
1471, 2794, 145
1591, 2863, 157
1740, 2934, 169
1869, 3142, 181
1987, 3143, 193
2126, 3352, 205
2277, 3422, 217
2431, 3562, 229
2588, 3562, 241
2716, 3771, 253
2811, 3911, 265
2932, 3981, 277
3053, 4050, 289
3170, 4260, 301
3261, 4261, 313
3401, 4400, 325
3533, 4610, 337
3696, 4680, 349
3845, 4819, 361
3964, 4959, 373
4091, 5029, 385
4220, 5168, 397
4361, 5238, 409
4494, 5377, 421
4600, 5588, 433
4739, 5727, 445
4904, 5797, 457
5042, 5866, 469
5189, 6006, 481
5326, 6146, 493
5434, 6216, 505
5594, 6425, 517
5697, 6495, 529
5834, 6635, 541
5963, 6705, 553
6108, 6844, 565
6221, 7193, 577
6339, 7124, 589
6451, 7193, 601
6576, 7403, 613
6709, 7543, 625
6831, 7682, 637
6944, 7822, 649
7103, 7892, 661
7224, 8032, 673
7323, 8172, 685
7415, 8311, 697
7578, 8381, 709
7698, 8591, 721
7827, 8661, 733
7972, 8730, 745
8105, 9010, 757
8215, 9080, 769
8355, 9219, 781
8469, 9289, 793
8646, 9428, 805
8780, 9498, 817
8899, 9708, 829
9025, 9778, 841
9159, 9987, 853
9293, 10057, 865
9447, 10127, 877
9556, 10336, 889
9678, 10406, 901
9816, 10546, 913
9940, 10686, 925
10086, 10895, 937
10239, 10825, 949
10416, 10965, 961
10558, 11244, 973
10709, 11244, 985
10797, 11384, 997
10873, 11454, 1009
11010, 11593, 1021
11141, 11733, 1033
11250, 11873, 1045
11373, 12013, 1057
11507, 12083, 1069
11613, 12222, 1081
11681, 12362, 1093
11837, 12431, 1105
11963, 12572, 1117
12077, 12711, 1129
12196, 12920, 1141
12295, 12920, 1153
12424, 13130, 1165
12524, 23746, 1177
12633, 13340, 1189

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
1189, 595, 23746,0, 7379


AVL Search
Item, Running Time, Numer of comparisons
8, 1537, 9
170, 1467, 9
278, 1537, 9
402, 1466, 9
514, 1606, 9
639, 1397, 9
764, 1467, 9
892, 1466, 9
1011, 1397, 9
1110, 1467, 9
1264, 1397, 9
1361, 1536, 9
1471, 1467, 9
1591, 1466, 9
1740, 1397, 9
1869, 1467, 9
1987, 1467, 9
2126, 1467, 9
2277, 1467, 9
2431, 1466, 9
2588, 1467, 9
2716, 1466, 9
2811, 1537, 10
2932, 1536, 10
3053, 1466, 10
3170, 1467, 10
3261, 1466, 10
3401, 1467, 10
3533, 1466, 10
3696, 1466, 10
3845, 1537, 10
3964, 1466, 10
4091, 1537, 10
4220, 1396, 10
4361, 1467, 10
4494, 1466, 10
4600, 1467, 10
4739, 1537, 10
4904, 1466, 10
5042, 1467, 10
5189, 1466, 10
5326, 1467, 10
5434, 1536, 10
5594, 1607, 11
5697, 1466, 11
5834, 1467, 11
5963, 1466, 11
6108, 1467, 11
6221, 1536, 11
6339, 1467, 11
6451, 1466, 11
6576, 1467, 11
6709, 1466, 11
6831, 1537, 11
6944, 1537, 11
7103, 1537, 11
7224, 1536, 11
7323, 1467, 11
7415, 1467, 11
7578, 1466, 11
7698, 1467, 11
7827, 1536, 11
7972, 1537, 11
8105, 1536, 11
8215, 1537, 11
8355, 1466, 11
8469, 1467, 11
8646, 1467, 11
8780, 1467, 11
8899, 1467, 11
9025, 1537, 11
9159, 1467, 11
9293, 1536, 11
9447, 1537, 11
9556, 1118, 11
9678, 1536, 11
9816, 1467, 11
9940, 1466, 11
10086, 1537, 11
10239, 1396, 11
10416, 1606, 12
10558, 1537, 12
10709, 1466, 12
10797, 1467, 12
10873, 1397, 12
11010, 1467, 12
11141, 1607, 13
11250, 1536, 13
11373, 1467, 13
11507, 1607, 13
11613, 1466, 13
11681, 1606, 13
11837, 1467, 13
11963, 1537, 13
12077, 1466, 14
12196, 1537, 14
12295, 1466, 14
12424, 1467, 14
12524, 1466, 15
12633, 1536, 16

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
16, 10, 1607,0, 1486


Interpolation Search
Item, Running Time, Numer of comparisons
8, 1327, 1
170, 1327, 3
278, 1327, 3
402, 1327, 3
514, 1396, 2
639, 1327, 2
764, 1396, 2
892, 1327, 2
1011, 1467, 3
1110, 1537, 4
1264, 1467, 3
1361, 1536, 4
1471, 1536, 3
1591, 1536, 3
1740, 1536, 4
1869, 1536, 3
1987, 1536, 3
2126, 1536, 3
2277, 1536, 3
2431, 1536, 2
2588, 1466, 3
2716, 1397, 3
2811, 2026, 2
2932, 10406, 2
3053, 1467, 3
3170, 1606, 3
3261, 1467, 3
3401, 1467, 3
3533, 1467, 3
3696, 1397, 2
3845, 1397, 3
3964, 1397, 2
4091, 1397, 2
4220, 1397, 2
4361, 1397, 3
4494, 1397, 3
4600, 1397, 2
4739, 1397, 3
4904, 1397, 4
5042, 1537, 4
5189, 1536, 4
5326, 1536, 3
5434, 1537, 4
5594, 1537, 4
5697, 1467, 4
5834, 1467, 3
5963, 1467, 3
6108, 1467, 4
6221, 1537, 3
6339, 1537, 3
6451, 1467, 3
6576, 1467, 3
6709, 1467, 4
6831, 1467, 4
6944, 1397, 3
7103, 1397, 3
7224, 1397, 3
7323, 1397, 4
7415, 1397, 3
7578, 1467, 3
7698, 1467, 4
7827, 1467, 3
7972, 1467, 3
8105, 1467, 3
8215, 1396, 3
8355, 1397, 3
8469, 1467, 4
8646, 1397, 3
8780, 1397, 4
8899, 1397, 3
9025, 1397, 4
9159, 1536, 4
9293, 1467, 3
9447, 1467, 4
9556, 1467, 3
9678, 1467, 4
9816, 1467, 3
9940, 1467, 4
10086, 1467, 4
10239, 1467, 4
10416, 1467, 4
10558, 1467, 3
10709, 1467, 5
10797, 1467, 5
10873, 1467, 4
11010, 1397, 3
11141, 1397, 4
11250, 1397, 3
11373, 1536, 3
11507, 1536, 4
11613, 1536, 4
11681, 1467, 4
11837, 1467, 3
11963, 1467, 3
12077, 1467, 4
12196, 1467, 4
12295, 1467, 3
12424, 1467, 3
12524, 1467, 3
12633, 1467, 2

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
5, 3, 10406,0, 1550
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
11932, 1117, 1
15124, 1467, 13
9487, 1536, 25
22786, 1746, 37
22026, 1956, 49
9287, 1956, 61
13477, 2095, 73
14982, 2165, 85
976, 2445, 97
23575, 2444, 109
21286, 2724, 121
6708, 2724, 133
8376, 2863, 145
2994, 3003, 157
15561, 3143, 169
12673, 3213, 181
622, 3423, 193
5933, 3423, 205
16704, 3632, 217
2722, 2165, 78
19207, 3911, 241
17765, 4121, 253
16827, 4050, 265
14203, 4260, 277
258, 4400, 289
18328, 4610, 301
9322, 4680, 313
12504, 4750, 325
14744, 4889, 337
22834, 5098, 349
18964, 5098, 361
19135, 5308, 373
19308, 5378, 385
19840, 5587, 397
11141, 5657, 409
11579, 5727, 421
85, 5867, 433
18519, 6146, 445
7146, 6146, 457
20499, 6286, 469
8146, 6426, 481
21645, 6565, 493
16417, 6775, 505
4422, 6844, 517
4822, 6844, 529
14349, 7124, 541
15580, 7123, 553
12568, 7124, 565
13732, 7473, 577
3484, 7612, 589
3651, 7683, 601
5331, 7822, 613
8591, 7962, 625
11380, 8101, 637
2578, 8172, 649
10518, 8381, 661
22754, 8451, 673
12213, 8591, 685
6531, 8730, 697
13337, 8800, 709
23045, 8939, 721
19589, 9289, 733
15250, 9358, 745
20544, 9568, 757
18950, 9429, 769
20130, 9708, 781
14457, 9848, 793
678, 9847, 805
9376, 10057, 817
11190, 10196, 829
21518, 10337, 841
20658, 10407, 853
9296, 10546, 865
1873, 10615, 877
8389, 10895, 889
4240, 11035, 901
1827, 11035, 913
10632, 11035, 925
7376, 11314, 937
19842, 11314, 949
12493, 11523, 961
16148, 11663, 973
20635, 11803, 985
18509, 11943, 997
23010, 12083, 1009
6043, 12152, 1021
23620, 12362, 1033
17794, 12361, 1045
17409, 8870, 667
9953, 12641, 1069
8499, 12781, 1081
23767, 11943, 995
3826, 13060, 1105
23916, 13131, 1117
6380, 13270, 1129
22034, 13340, 1141
19278, 13479, 1153
19890, 13689, 1165
13966, 13828, 1177
23170, 13898, 1189

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
1189, 588, 13898,0, 7584


BST Search
Item, Running Time, Numer of comparisons
11932, 1467, 1
15124, 1117, 5
9487, 1467, 7
22786, 1467, 8
22026, 1397, 5
9287, 1466, 9
13477, 1397, 8
14982, 1397, 7
976, 1397, 6
23575, 1466, 8
21286, 1467, 8
6708, 1466, 12
8376, 1537, 13
2994, 1466, 10
15561, 1467, 8
12673, 1467, 13
622, 1397, 6
5933, 1536, 12
16704, 1467, 10
2722, 1466, 8
19207, 1467, 10
17765, 1466, 11
16827, 1467, 11
14203, 1536, 12
258, 1397, 7
18328, 1466, 12
9322, 1467, 11
12504, 1536, 14
14744, 1467, 11
22834, 1467, 10
18964, 1467, 12
19135, 1467, 13
19308, 1467, 12
19840, 1467, 11
11141, 1466, 10
11579, 1467, 10
85, 1536, 9
18519, 1536, 9
7146, 1607, 18
20499, 1397, 9
8146, 1537, 13
21645, 1467, 11
16417, 1536, 11
4422, 1536, 14
4822, 1537, 13
14349, 1536, 15
15580, 1536, 15
12568, 1537, 16
13732, 1467, 12
3484, 1467, 5
3651, 1466, 9
5331, 1537, 16
8591, 1537, 15
11380, 1536, 13
2578, 1537, 12
10518, 1537, 14
22754, 1536, 11
12213, 1537, 14
6531, 1537, 14
13337, 1606, 16
23045, 1536, 14
19589, 1467, 9
15250, 1467, 10
20544, 1536, 9
18950, 1676, 15
20130, 1746, 17
14457, 1466, 13
678, 1467, 8
9376, 1397, 12
11190, 1536, 14
21518, 1536, 11
20658, 1397, 11
9296, 1397, 13
1873, 1537, 12
8389, 1606, 16
4240, 1466, 9
1827, 1537, 13
10632, 1536, 11
7376, 1606, 18
19842, 1537, 13
12493, 1607, 16
16148, 1047, 9
20635, 1536, 12
18509, 1537, 11
23010, 1537, 16
6043, 1466, 13
23620, 1466, 10
17794, 1607, 15
17409, 1537, 12
9953, 1606, 18
8499, 1606, 17
23767, 1397, 9
3826, 1536, 11
23916, 1467, 11
6380, 1537, 18
22034, 1536, 10
19278, 1537, 12
19890, 1536, 14
13966, 1606, 15
23170, 1467, 13

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
18, 11, 1746,0, 1495


AVL Search
Item, Running Time, Numer of comparisons
11932, 1536, 1
15124, 1397, 5
9487, 1467, 6
22786, 1537, 6
22026, 1537, 6
9287, 1467, 9
13477, 1048, 6
14982, 1466, 8
976, 1467, 7
23575, 1536, 7
21286, 1466, 9
6708, 1467, 6
8376, 1467, 8
2994, 1537, 9
15561, 1606, 7
12673, 1606, 11
622, 1606, 9
5933, 1536, 8
16704, 1606, 8
2722, 1606, 7
19207, 1607, 10
17765, 1536, 8
16827, 1537, 9
14203, 1607, 9
258, 1537, 9
18328, 1536, 9
9322, 1536, 9
12504, 1536, 8
14744, 1467, 8
22834, 1536, 8
18964, 1606, 10
19135, 1187, 10
19308, 1187, 9
19840, 1187, 6
11141, 1536, 10
11579, 1537, 9
85, 1467, 11
18519, 1466, 9
7146, 1536, 10
20499, 1537, 10
8146, 1606, 9
21645, 1536, 9
16417, 1537, 9
4422, 1467, 8
4822, 1536, 10
14349, 1606, 9
15580, 1606, 11
12568, 1606, 11
13732, 1606, 11
3484, 1536, 10
3651, 1537, 11
5331, 1607, 9
8591, 1606, 8
11380, 1536, 9
2578, 1467, 10
10518, 1537, 11
22754, 1536, 10
12213, 1536, 10
6531, 1467, 9
13337, 1466, 9
23045, 1536, 10
19589, 1467, 10
15250, 1466, 10
20544, 1537, 10
18950, 1467, 10
20130, 1117, 11
14457, 1187, 10
678, 1537, 11
9376, 1537, 11
11190, 1536, 12
21518, 1536, 10
20658, 1536, 10
9296, 7124, 11
1873, 1467, 10
8389, 1397, 10
4240, 1536, 11
1827, 1536, 12
10632, 1467, 11
7376, 1536, 12
19842, 2025, 9
12493, 2095, 11
16148, 2095, 11
20635, 2095, 11
18509, 4889, 11
23010, 5168, 9
6043, 9708, 9
23620, 2095, 10
17794, 9080, 13
17409, 2025, 9
9953, 6914, 11
8499, 1606, 11
23767, 1536, 9
3826, 2095, 12
23916, 2584, 10
6380, 1537, 12
22034, 1606, 12
19278, 1536, 12
19890, 1537, 10
13966, 1606, 13
23170, 1536, 11

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
13, 9, 9708,0, 1894
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
4, 1327, 1
131, 1467, 14
290, 1606, 27
432, 1746, 40
578, 1816, 53
711, 1956, 66
859, 2095, 79
981, 2235, 92
1103, 2025, 105
1273, 2445, 118
1379, 2584, 131
1497, 2724, 144
1603, 2793, 157
1785, 3004, 170
1933, 3073, 183
2079, 3213, 196
2204, 3353, 209
2346, 3562, 222
2463, 3632, 235
2586, 3702, 248
2721, 3841, 261
2880, 4051, 274
3013, 4121, 287
3149, 4260, 300
3321, 4400, 313
3430, 4400, 326
3547, 4609, 339
3667, 4819, 352
3783, 4888, 365
3901, 4958, 378
4026, 5169, 391
4179, 5308, 404
4337, 5448, 417
4457, 5517, 430
4580, 5587, 443
4720, 5727, 456
4875, 5866, 469
4975, 6076, 482
5096, 6286, 495
5239, 6286, 508
5343, 6426, 521
5488, 6565, 534
5629, 6635, 547
5762, 6844, 560
5903, 6914, 573
6041, 7194, 586
6155, 7124, 599
6302, 7333, 612
6427, 7404, 625
6559, 7752, 638
6724, 7822, 651
6880, 7962, 664
7014, 7683, 677
7139, 8171, 690
7290, 8241, 703
7416, 8311, 716
7540, 8521, 729
7670, 8660, 742
7811, 8730, 755
7948, 8939, 768
8129, 9080, 781
8293, 8939, 794
8399, 9149, 807
8544, 9428, 820
8680, 9499, 833
8809, 9708, 846
8982, 9778, 859
9113, 9987, 872
9283, 9917, 885
9388, 10267, 898
9518, 10336, 911
9650, 10406, 924
9785, 10616, 937
9899, 10686, 950
9994, 10825, 963
10133, 10966, 976
10259, 11105, 989
10351, 11104, 1002
10476, 11315, 1015
10658, 11385, 1028
10809, 11524, 1041
10968, 11523, 1054
11099, 11804, 1067
11267, 11873, 1080
11400, 12013, 1093
11537, 12082, 1106
11689, 12222, 1119
11842, 12362, 1132
11973, 12571, 1145
12118, 12711, 1158
12250, 12781, 1171
12370, 21162, 1184
12471, 14178, 1197
12600, 14318, 1210
12734, 14388, 1223
12865, 14387, 1236
12992, 14667, 1249
13158, 14806, 1262
13283, 16413, 1275
13440, 16483, 1288

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
1288, 644, 21162,0, 7839


Binary Search
Item, Running Time, Numer of comparisons
4, 1676, 10
131, 1816, 11
290, 1606, 9
432, 1118, 5
578, 6076, 10
711, 1607, 10
859, 1467, 10
981, 1606, 10
1103, 1606, 11
1273, 1467, 9
1379, 1467, 7
1497, 1537, 10
1603, 1606, 10
1785, 1746, 10
1933, 1536, 10
2079, 1536, 11
2204, 1467, 9
2346, 1466, 6
2463, 1537, 10
2586, 1467, 8
2721, 1677, 10
2880, 1956, 10
3013, 2096, 10
3149, 1607, 10
3321, 1607, 11
3430, 1676, 10
3547, 1676, 11
3667, 1536, 9
3783, 1467, 5
3901, 6705, 10
4026, 2026, 10
4179, 2165, 10
4337, 1536, 10
4457, 1606, 11
4580, 1606, 9
4720, 2095, 7
4875, 6425, 10
4975, 1607, 10
5096, 1537, 10
5239, 1537, 10
5343, 6216, 11
5488, 6076, 9
5629, 1537, 6
5762, 1606, 10
5903, 1607, 8
6041, 1677, 10
6155, 1606, 10
6302, 1676, 10
6427, 1606, 10
6559, 1676, 11
6724, 1606, 10
6880, 1606, 11
7014, 1536, 9
7139, 1536, 5
7290, 1537, 10
7416, 1537, 10
7540, 1537, 10
7670, 6425, 10
7811, 6565, 11
7948, 1536, 9
8129, 19625, 7
8293, 2025, 10
8399, 1676, 10
8544, 1676, 10
8680, 1676, 10
8809, 1606, 11
8982, 1606, 9
9113, 1676, 6
9283, 1606, 10
9388, 1606, 8
9518, 1606, 10
9650, 1466, 10
9785, 1606, 10
9899, 1537, 10
9994, 1606, 11
10133, 1676, 10
10259, 5937, 11
10351, 1676, 9
10476, 1467, 5
10658, 6984, 10
10809, 5727, 10
10968, 1187, 10
11099, 1537, 10
11267, 1676, 11
11400, 1536, 11
11537, 6077, 11
11689, 1606, 9
11842, 1537, 8
11973, 1676, 9
12118, 1536, 6
12250, 1467, 10
12370, 1537, 10
12471, 1676, 11
12600, 1746, 9
12734, 1606, 11
12865, 1537, 9
12992, 1537, 7
13158, 1676, 9
13283, 1537, 8
13440, 1676, 10

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
11, 9, 19625,0, 2306


BST Search
Item, Running Time, Numer of comparisons
4, 2305, 1
131, 1537, 14
290, 1606, 27
432, 1746, 40
578, 1816, 53
711, 1955, 66
859, 2095, 79
981, 2235, 92
1103, 2375, 105
1273, 2514, 118
1379, 2584, 131
1497, 2724, 144
1603, 2793, 157
1785, 3003, 170
1933, 3143, 183
2079, 3213, 196
2204, 8870, 209
2346, 3283, 222
2463, 3352, 235
2586, 3493, 248
2721, 3632, 261
2880, 3771, 274
3013, 3912, 287
3149, 3981, 300
3321, 4051, 313
3430, 4190, 326
3547, 4470, 339
3667, 4400, 352
3783, 4539, 365
3901, 4610, 378
4026, 4819, 391
4179, 4889, 404
4337, 5099, 417
4457, 5098, 430
4580, 4959, 443
4720, 5099, 456
4875, 5447, 469
4975, 5587, 482
5096, 5727, 495
5239, 5867, 508
5343, 5936, 521
5488, 6076, 534
5629, 6285, 547
5762, 6286, 560
5903, 6425, 573
6041, 6565, 586
6155, 6705, 599
6302, 6774, 612
6427, 6914, 625
6559, 6984, 638
6724, 7194, 651
6880, 7194, 664
7014, 7403, 677
7139, 7542, 690
7290, 7753, 703
7416, 7682, 716
7540, 7822, 729
7670, 7962, 742
7811, 8241, 755
7948, 8172, 768
8129, 8311, 781
8293, 8381, 794
8399, 8730, 807
8544, 8660, 820
8680, 8730, 833
8809, 8870, 846
8982, 9289, 859
9113, 9079, 872
9283, 9289, 885
9388, 9358, 898
9518, 9778, 911
9650, 9568, 924
9785, 9708, 937
9899, 9848, 950
9994, 10196, 963
10133, 10057, 976
10259, 10197, 989
10351, 10196, 1002
10476, 10686, 1015
10658, 10476, 1028
10809, 10546, 1041
10968, 10756, 1054
11099, 11175, 1067
11267, 10965, 1080
11400, 11105, 1093
11537, 11244, 1106
11689, 11663, 1119
11842, 11454, 1132
