Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
213, 1816, 5
229, 1955, 6
247, 1816, 3
249, 1816, 6
256, 1816, 5
271, 1885, 6
284, 1886, 4
289, 2026, 6
294, 1816, 5
309, 1815, 6
315, 1886, 1
325, 1886, 6
329, 1886, 5
335, 1955, 6
347, 2026, 4
350, 1956, 6
367, 1815, 5
387, 1956, 6
388, 1886, 3
391, 1886, 6
404, 1886, 5
406, 1955, 6
414, 1886, 4
433, 2025, 6
452, 2025, 5
459, 1886, 6
473, 1816, 2
475, 1956, 7
495, 1816, 6
507, 1885, 7
522, 1886, 5
525, 1886, 7
543, 1815, 6
554, 1956, 7
569, 1886, 4
584, 1886, 7
589, 1885, 6
594, 1886, 7
596, 2025, 5
598, 2025, 7
610, 1885, 6
630, 1886, 7
641, 1885, 3
660, 2026, 7
678, 1816, 6
682, 1956, 7
701, 1816, 5
705, 1886, 7
713, 1886, 6
723, 1956, 7
734, 2095, 4
748, 1955, 8
750, 1955, 7
769, 1955, 8
775, 1885, 6
784, 2026, 8
789, 1886, 7
800, 1956, 8
815, 1885, 5
832, 1885, 9
835, 1956, 8
845, 1955, 9
855, 1886, 7
875, 1956, 9
892, 2025, 8
903, 1956, 9
910, 1886, 6
919, 2026, 9
937, 1886, 8
939, 1955, 9
954, 1885, 7
963, 1956, 9
967, 1956, 8
984, 1955, 10
1001, 1886, 9
1020, 1886, 11
1040, 1956, 10
1049, 1885, 11
1059, 2025, 12

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
12, 6, 6147,0, 1953


Interpolation Search
Item, Running Time, Numer of comparisons
6, 8032, 1
19, 8032, 2
31, 8032, 2
35, 2514, 2
43, 2445, 2
52, 2515, 2
54, 3212, 3
64, 3212, 3
73, 3213, 3
80, 3073, 3
96, 3073, 3
105, 3073, 3
116, 3073, 3
126, 3142, 3
131, 3143, 3
151, 3143, 3
160, 3143, 3
180, 2445, 2
181, 3004, 3
186, 3771, 4
198, 3771, 3
213, 3771, 3
229, 3771, 3
247, 2375, 2
249, 3142, 3
256, 3073, 3
271, 3073, 3
284, 2444, 2
289, 3074, 3
294, 3073, 3
309, 3073, 3
315, 3073, 3
325, 3143, 3
329, 3074, 3
335, 3702, 4
347, 3143, 3
350, 3632, 4
367, 3143, 3
387, 3143, 4
388, 3143, 3
391, 3073, 3
404, 3073, 4
406, 3631, 4
414, 3632, 4
433, 3073, 3
452, 3073, 4
459, 3073, 3
473, 3073, 3
475, 3561, 3
495, 3561, 3
507, 3561, 3
522, 3561, 3
525, 3004, 3
543, 3003, 3
554, 3003, 3
569, 3003, 3
584, 3003, 3
589, 3003, 3
594, 3632, 4
596, 3701, 4
598, 4330, 5
610, 3562, 4
630, 3003, 3
641, 3003, 3
660, 3003, 3
678, 3003, 3
682, 3003, 3
701, 3003, 3
705, 3003, 3
713, 3003, 3
723, 3073, 3
734, 3004, 3
748, 3004, 3
750, 3073, 3
769, 3003, 3
775, 3003, 3
784, 3003, 3
789, 3422, 4
800, 3003, 3
815, 3003, 3
832, 3003, 3
835, 3003, 3
845, 3003, 3
855, 3632, 4
875, 3632, 3
892, 3632, 3
903, 3003, 3
910, 3073, 3
919, 3003, 3
937, 3003, 3
939, 2934, 3
954, 2934, 3
963, 3073, 3
967, 3702, 4
984, 3003, 3
1001, 3003, 3
1020, 2374, 2
1040, 2374, 2
1049, 2374, 2
1059, 2374, 2

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
5, 3, 8032,0, 3270
Unsorted Searching


Sequential Search
Item, Running Time, Numer of comparisons
1603, 2235, 1
1554, 1466, 2
1849, 1397, 3
1493, 1397, 4
456, 1467, 5
209, 1466, 6
1438, 1536, 7
461, 1467, 8
1904, 2026, 9
1970, 1466, 10
454, 1536, 11
741, 1536, 12
1160, 1536, 13
243, 1467, 14
1349, 1536, 15
525, 1467, 16
497, 1537, 17
470, 1537, 18
980, 1537, 19
1211, 1606, 20
1713, 1606, 21
175, 1607, 22
611, 1606, 23
1965, 1606, 24
1246, 1746, 25
269, 1537, 26
816, 1607, 27
1767, 1676, 28
988, 1746, 29
1266, 1607, 30
1768, 1676, 31
1843, 1606, 32
1546, 1676, 33
1082, 1676, 34
1261, 1676, 35
246, 1676, 36
1796, 1816, 37
1444, 1746, 38
566, 1746, 39
33, 1746, 40
647, 1746, 41
1533, 1746, 42
346, 1885, 43
1755, 1816, 44
1472, 1956, 45
626, 1886, 46
1400, 1886, 47
1371, 1886, 48
1009, 1955, 49
373, 1816, 50
1595, 1886, 51
1533, 1816, 42
71, 1956, 53
1962, 2095, 54
1358, 1886, 55
54, 2235, 56
638, 1956, 57
1943, 2095, 58
668, 2026, 59
1664, 2095, 60
1602, 2096, 61
1499, 2025, 62
1589, 2026, 63
572, 1956, 64
225, 2026, 65
643, 2095, 66
549, 2095, 67
486, 2235, 68
705, 2095, 69
1150, 2235, 70
1333, 2096, 71
1614, 2235, 72
1566, 2165, 73
1681, 2235, 74
1084, 2165, 75
1327, 2165, 76
125, 2234, 77
1111, 2165, 78
281, 2166, 79
21, 2165, 80
975, 2165, 81
850, 2165, 82
1042, 2304, 83
1251, 2234, 84
1816, 2305, 85
45, 2235, 86
1186, 1955, 87
769, 2095, 88
1765, 2234, 89
586, 2305, 90
1702, 2375, 91
399, 2304, 92
1514, 2374, 93
551, 2305, 94
1493, 1327, 4
1110, 2374, 96
1406, 2305, 97
1997, 2444, 98
1904, 1396, 9
1573, 2445, 100

Max numer of comparisons, average comparisons,Max running time in nano seconds, Max running time in milli seconds, average time in nanos
100, 48, 2445,0, 1895


BST Search
Item, Running Time, Numer of comparisons
1603, 2584, 1
1554, 1886, 2
1849, 1746, 2
1493, 1746, 3
456, 1676, 4
209, 1746, 5
1438, 1746, 5
461, 1816, 6
1904, 1816, 3
1970, 1746, 4
454, 1816, 6
741, 1816, 7
1160, 1886, 8
243, 1816, 7
1349, 1886, 9
525, 1885, 8
497, 1816, 9
470, 1886, 10
980, 1816, 9
1211, 1816, 10
1713, 1746, 3
175, 1816, 6
611, 1816, 9
1965, 1816, 5
1246, 1886, 11
269, 1746, 8
816, 1885, 10
1767, 1816, 4
988, 1815, 10
1266, 1816, 12
1768, 1746, 5
1843, 1885, 6
1546, 1816, 4
1082, 2026, 11
1261, 1886, 13
246, 2584, 9
1796, 3772, 7
1444, 2933, 6
566, 1885, 10
33, 1816, 7
647, 1885, 10
